Fuel_Load,Spread_rate,Flame_length,Resistance ,Weight,Average dbh 20+ in.,Average dbh 8-20 in.,Average dbh snags 8+ in.,Average # trees 20+ in.,Average # trees 8-20 in.,Average # trees under 8 in. dbh,Average # snags,% cover trees,% cover brush
1-DFHD-3,8,4,3,3.3,25,13,0,1.09,9.9,22.28,0,70,0
2-DFHD-3,3,3,1.5,10.1,55,16,15,1.04,6.19,4.95,1.58,70,0
3-DFHD-3,3,4,2,21.5,28,13,12,1.24,14.06,12.38,0.45,90,1
1-DFHD-4,8,4,1.7,6.3,42,13,51,0.99,4.31,66.83,0.05,60,0
2-DFHD-4,10,7,1.7,6.4,26,15,0,0.54,6.09,12.38,0,50,46
3-DFHD-4,2,3,2,12.9,28,15,19,2.38,6.14,7.43,1.63,80,6
4-DFHD-4,2,2,1.7,13.7,31,14,21,1.44,5.89,37.13,0.15,80,1
5-DFHD-4,3,4,1.2,33.2,32,16,32,2.33,5.99,47.03,0.05,90,3
1-HD-2,8,4,3,2.4,0,9,3,0,5.45,36.14,3.37,20,9
2-HD-2,8,4,1.5,8,0,11,15,0,4.5,2.48,0.94,30,5
1-DF-2,6,6,1.3,30,0,11,35,0,13.32,0,0.01,70,6
2-DF-2,4,4,0.9,55.8,21,11,26,0.3,17.48,27.23,0.35,80,18
1-DF-3,3,4,1,59.1,22,13,42,0.15,16.63,17.33,0.89,60,1
2-DF-3,17,13,0.5,111.5,26,15,24,0.89,3.12,4.95,0.2,50,25
1-DF-4,1,1,1.5,14.1,30,14,17,1.19,4.01,4.95,0.2,70,5
2-DF-4,1,1,2,19.2,30,18,23,1.5,1.53,0,0.59,60,0
3-DF-4,2,2,1.3,27.3,29,11,10,1.93,1.5,8.96,0.59,70,7
4-DF-4,1,2,1.2,56,31,12,0,3.71,5.94,12.38,0,70,3
5-DF-4,2,2,0.7,103.6,44,18,35,1.53,0.54,0,0.2,60,0
6-DF-4,3,4,0.6,104.8,30,19,30,1.93,0.64,3.96,0.25,70,1
7-DF-4,4,5,0.5,330.7,24,18,23,0.45,2.77,0,0.2,60,13
1-SA-1,1,1,1.3,20.1,0,11,19,0,1.73,18.42,0.15,30,0
2-SA-1,1,1,1.3,20.9,25,15,16,0.99,2.77,8.96,0.25,50,14
3-SA-1,6,6,1.3,36.3,0,14,11,0,3.22,18.41,1.09,30,0
1-SA-2,1,1,1.7,5.2,0,13,13,0,2.42,27.97,0.79,20,17
2-SA-2,2,3,1.5,41.2,0,10,10,0,3.02,86.63,0.74,10,7
1-SA-3,1,1,1.3,2.7,23,15,11,0.74,8.91,42.08,1.29,70,0
2-SA-3,2,3,3,13.7,23,15,22,0.5,5.59,17.33,0.94,60,1
3-SA-3,1,2,1.1,24.9,0,14,14,0,6.19,29.7,0.64,40,9
1-SA-4,1,1,1.5,33.2,34,11,33,1.34,1.34,0,0.2,40,21
2-SA-4,1,2,0.9,36.3,21,15,18,0.1,9.6,47.03,3.42,41,1
1-MC-2,2,3,1.3,6.8,34,13,13,0.45,8.17,39.6,0.94,50,0
