SurveyID,Average dbh 20+ in.,Average dbh 8-20 in.,Average dbh snags 8+ in.,Average # trees 20+ in.,Average # trees 8-20 in.,Average # trees under 8 in. dbh,Average # snags,% cover trees,% cover brush
001-1,0,0,0,0,0,0,0,0,3
001-2,0,0,0,0,0,0,0,0,3
002-1,0,0,0,0,0,6,0,45,83
002-2,0,0,0,0,0,6,0,45,83
003-1,0,0,0,0,0,7,0,40,53
003-2,0,0,0,0,0,7,0,40,53
004-1,0,0,0,0,0,0,0,0,0
004-2,0,0,0,0,0,0,0,0,0
005-1,0,13,0,0,3,0,0,30,16
005-2,0,0,0,0,0,3,0,10,100
006-1,0,12.66666667,0,0,3,14,0,55,15
006-2,0,12.66666667,0,0,3,14,0,55,15
007-1,0,0,0,0,0,1,0,10,88
007-2,0,0,0,0,0,1,0,10,88
008-1,0,0,0,0,0,1,0,0,6
008-2,0,0,0,0,0,0,0,0,8
009-1,24,15.66666667,0,2,6,1,0,60,65
009-2,24,15.66666667,0,2,6,1,0,60,65
010-1,0,9,0,0,1,22,0,65,45
010-2,0,9,0,0,1,22,0,65,45
011-1,0,0,0,0,0,0,0,0,100
011-2,0,0,0,0,0,0,0,0,100
012-1,0,13,0,0,4,2,0,40,78
012-2,0,13,0,0,4,2,0,40,78
013-1,32,17.5,0,3,2,0,0,60,40
013-2,0,13,0,0,4,2,0,40,78
014-1,0,0,0,0,0,4,0,35,55
014-2,0,0,0,0,0,4,0,35,55
015-1,22,11.625,0,2,8,5,0,65,50
015-2,0,0,0,0,0,3,0,40,85
015-3,0,16.66666667,0,0,6,7,0,50,85
015-4,0,15.57142857,0,0,7,3,0,40,45
016-1,0,11.85714286,0,0,7,5,0,35,55
016-2,0,11.85714286,0,0,7,5,0,35,55
017-1,0,0,0,0,0,5,0,5,91
017-2,0,0,0,0,0,5,0,5,91
018-1,0,13.5,0,0,6,5,0,50,70
018-2,0,13.5,0,0,6,5,0,50,70
019-1,0,9,0,0,2,40,0,43,25
019-2,0,9,0,0,2,40,0,43,25
020-1,0,11.5,0,0,2,4,0,45,30
020-2,0,11.5,0,0,2,4,0,45,30
021-1,28,14,16,1,3,1,1,60,70
021-2,28,13,16,1,4,1,1,65,60
022-1,25,10,10,3,1,2,2,55,85
022-2,25,10,10,3,1,2,2,55,85
023-1,0,13.66666667,0,0,3,0,0,20,50
023-2,0,13.66666667,0,0,3,0,0,20,50
024-1,23,14,11,1,3,3,1,75,55
024-2,23,14,11,1,3,3,1,75,55
025-1,26,20,0,3,1,5,0,80,20
025-2,26,20,0,3,1,5,0,80,20
026-1,0,0,0,0,0,28,0,25,43
026-2,0,0,0,0,0,10,0,20,25
027-1,0,13.33333333,0,0,6,2,0,105,12
027-2,0,13.33333333,0,0,6,2,0,105,12
028-1,0,8,0,0,1,26,0,30,41
028-2,0,8,0,0,1,26,0,30,41
029-1,0,12,0,0,1,2,0,15,28
029-2,0,12,0,0,1,2,0,15,28
030-1,21,12.25,0,1,4,6,0,45,27
030-2,26,12,24,1,1,4,1,35,60
031-1,0,16,0,0,4,3,0,45,51
031-2,0,16,0,0,4,3,0,45,51
032-1,29,9,0,1,1,7,0,45,38
032-2,29,9,0,1,1,7,0,45,38
