best fit row,Fuel_Load,Spread_rate,Flame_length,Resistance ,Weight,plotIDs
82,1-JU-2,12,4,4.0,0.9,001-1
82,1-JU-2,12,4,4.0,0.9,001-2
81,2-BB,13,7,0.9,36.8,002-1
81,2-BB,13,7,0.9,36.8,002-2
80,1-BB,7,5,1.2,5.3,003-1
80,1-BB,7,5,1.2,5.3,003-2
82,1-JU-2,12,4,4.0,0.9,004-1
82,1-JU-2,12,4,4.0,0.9,004-2
45,2-LP-2,1,1,2.0,20.5,005-1
81,2-BB,13,7,0.9,36.8,005-2
45,2-LP-2,1,1,2.0,20.5,006-1
45,2-LP-2,1,1,2.0,20.5,006-2
81,2-BB,13,7,0.9,36.8,007-1
81,2-BB,13,7,0.9,36.8,007-2
82,1-JU-2,12,4,4.0,0.9,008-1
82,1-JU-2,12,4,4.0,0.9,008-2
6,2-DFHD-4,10,7,1.7,6.4,009-1
6,2-DFHD-4,10,7,1.7,6.4,009-2
6,2-DFHD-4,10,7,1.7,6.4,010-1
6,2-DFHD-4,10,7,1.7,6.4,010-2
81,2-BB,13,7,0.9,36.8,011-1
81,2-BB,13,7,0.9,36.8,011-2
52,2-PP&Assoc-3,13,7,1.7,1.7,012-1
52,2-PP&Assoc-3,13,7,1.7,1.7,012-2
78,7-PP-4,4,3,1.5,31.32,013-1
52,2-PP&Assoc-3,13,7,1.7,1.7,013-2
80,1-BB,7,5,1.2,5.3,014-1
80,1-BB,7,5,1.2,5.3,014-2
6,2-DFHD-4,10,7,1.7,6.4,015-1
81,2-BB,13,7,0.9,36.8,015-2
6,2-DFHD-4,10,7,1.7,6.4,015-3
6,2-DFHD-4,10,7,1.7,6.4,015-4
6,2-DFHD-4,10,7,1.7,6.4,016-1
6,2-DFHD-4,10,7,1.7,6.4,016-2
81,2-BB,13,7,0.9,36.8,017-1
81,2-BB,13,7,0.9,36.8,017-2
6,2-DFHD-4,10,7,1.7,6.4,018-1
6,2-DFHD-4,10,7,1.7,6.4,018-2
61,3-PP-1,7,6,1.2,42.5,019-1
61,3-PP-1,7,6,1.2,42.5,019-2
64,3-PP-2,8,5,1.3,13.8,020-1
64,3-PP-2,8,5,1.3,13.8,020-2
52,2-PP&Assoc-3,13,7,1.7,1.7,021-1
52,2-PP&Assoc-3,13,7,1.7,1.7,021-2
52,2-PP&Assoc-3,13,7,1.7,1.7,022-1
52,2-PP&Assoc-3,13,7,1.7,1.7,022-2
6,2-DFHD-4,10,7,1.7,6.4,023-1
6,2-DFHD-4,10,7,1.7,6.4,023-2
6,2-DFHD-4,10,7,1.7,6.4,024-1
6,2-DFHD-4,10,7,1.7,6.4,024-2
78,7-PP-4,4,3,1.5,31.32,025-1
